strain_id	selection_tool	sample_type	country	state	phylum	class	order	family	genus	species	sa_primary_test	sa_confirmation_test	sa_confirmed_activity	sa_purity_test	sa_purity_confirmed	bs_primary_test	bs_confirmation_test	bs_confirmed_activity	bs_purity_test	bs_purity_confirmed	sa_ml_disease_ctrl	bs_ml_disease_ctrl
SID00001	genome_similarity	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Bacillaceae_H	Bacillus_C	Bacillus_C megaterium	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00002	genome_similarity	Soil	United States	Texas	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	gtdb_novel_strain	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		35.0
SID00003	genome_similarity	Soil	United States	Texas	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp900107395	1	1	1	1	1	1.0	1.0	1.0	1.0	1.0		80.0
SID00004	spectrum	Soil	United States	Utah	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00005	genome_similarity	Soil	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Chromobacterium	gtdb_novel_strain	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00006	machine_learning_validation	Insect	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_M	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	-0.6	65.0
SID00007	spectrum	Leaf	United States	Iowa	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00008	spectrum	Soil	United States	New York	Firmicutes_I	Bacilli_A	Paenibacillales	Paenibacillaceae	Cohnella	gtdb_novel_strain	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00009	machine_learning_validation	Soil	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E protegens	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	81.0	80.0
SID00010	spectrum	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00011	spectrum	Root	United States	Iowa	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E fluorescens_AK	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00012	genome_similarity	Soil	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00013	genome_similarity	Insect	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00014	genome_similarity	Other	United States	Oklahoma	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00015	genome_similarity	Soil	United States	Connecticut	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E fluorescens_AP	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00016	spectrum	Plant	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Paenarthrobacter	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00017	spectrum	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00018	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00019	genome_similarity	Leaf	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00020	spectrum	Root	United States	Louisiana	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00021	diversity	Root	United States	Illinois	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herbaspirillum	Herbaspirillum huttiense	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
