strain_id	bgc_id	fam_cluster_id	clan_cluster_id	product_class	top_kcb
MIBiG	BGC0000112.1	others11205	others3580		
MIBiG	BGC0000176.1	pksother5119	pksother5119		
MIBiG	BGC0000181.1	pksother8575	pksother3708		
MIBiG	BGC0000182.1	others8936	others3580		
MIBiG	BGC0000182.1	others8936	others3580		
MIBiG	BGC0000182.1	pksother8941	pksother3708		
MIBiG	BGC0000182.1	pksother8941	pksother3708		
MIBiG	BGC0000201.1	pksother11768	pksother3708		
MIBiG	BGC0000203.1	pksother11768	pksother3708		
MIBiG	BGC0000215.1	pksother11133	pksother3708		
MIBiG	BGC0000223.1	pksother13131	pksother3708		
MIBiG	BGC0000229.1	pksother13171	pksother3708		
MIBiG	BGC0000231.1	pksother11768	pksother3708		
MIBiG	BGC0000234.1	pksother13131	pksother3708		
MIBiG	BGC0000235.1	pksother13131	pksother3708		
MIBiG	BGC0000236.1	pksother13131	pksother3708		
MIBiG	BGC0000239.1	pksother13131	pksother3708		
MIBiG	BGC0000253.1	pksother13131	pksother3708		
MIBiG	BGC0000262.1	pksother13131	pksother3708		
MIBiG	BGC0000267.1	pksother13131	pksother3708		
MIBiG	BGC0000270.1	pksother13131	pksother3708		
MIBiG	BGC0000271.1	pksother11133	pksother3708		
MIBiG	BGC0000272.1	pksother11836	pksother3708		
MIBiG	BGC0000276.1	pksother13131	pksother3708		
MIBiG	BGC0000280.1	pksother1489	pksother3708		
MIBiG	BGC0000281.1	pksother2939	pksother3708		
MIBiG	BGC0000294.1	nrps3107	nrps10750		
MIBiG	BGC0000295.1	others6775	others3580		
MIBiG	BGC0000305.1	nrps5742	nrps10750		
MIBiG	BGC0000309.1	nrps11253	nrps10750		
MIBiG	BGC0000358.1	nrps6917	nrps10750		
MIBiG	BGC0000371.1	nrps11935	nrps10750		
MIBiG	BGC0000381.1	nrps4760	nrps10750		
MIBiG	BGC0000385.1	pksother11949	pksother3708		
MIBiG	BGC0000385.1	pksother11949	pksother3708		
MIBiG	BGC0000385.1	pksother11949	pksother3708		
MIBiG	BGC0000385.1	pksother11949	pksother3708		
MIBiG	BGC0000385.1	others11949	others3580		
MIBiG	BGC0000385.1	others11949	others3580		
MIBiG	BGC0000385.1	others11949	others3580		
MIBiG	BGC0000385.1	others11949	others3580		
MIBiG	BGC0000385.1	ripps11949	ripps3447		
MIBiG	BGC0000385.1	ripps11949	ripps3447		
MIBiG	BGC0000385.1	ripps11949	ripps3447		
MIBiG	BGC0000385.1	ripps11949	ripps3447		
MIBiG	BGC0000385.1	nrps11949	nrps10750		
MIBiG	BGC0000385.1	nrps11949	nrps10750		
MIBiG	BGC0000385.1	nrps11949	nrps10750		
MIBiG	BGC0000385.1	nrps11949	nrps10750		
MIBiG	BGC0000389.1	nrps1603	nrps10750		
MIBiG	BGC0000398.1	nrps4841	nrps2942		
MIBiG	BGC0000399.1	nrps4841	nrps2942		
MIBiG	BGC0000402.1	pksother12634	pksother3708		
MIBiG	BGC0000407.1	nrps8637	nrps10750		
MIBiG	BGC0000408.1	nrps6715	nrps10750		
MIBiG	BGC0000410.1	nrps8914	nrps10750		
MIBiG	BGC0000413.1	nrps2554	nrps2554		
MIBiG	BGC0000424.1	nrps6142	nrps10750		
MIBiG	BGC0000425.1	nrps4382	nrps4382		
MIBiG	BGC0000433.1	nrps5117	nrps3579		
MIBiG	BGC0000446.1	nrps3063	nrps10750		
MIBiG	BGC0000447.1	nrps4382	nrps4382		
MIBiG	BGC0000449.1	nrps6914	nrps10750		
MIBiG	BGC0000452.1	nrps12015	nrps10750		
MIBiG	BGC0000502.1	ripps12060	ripps3447		
MIBiG	BGC0000506.1	ripps12063	ripps12063		
MIBiG	BGC0000511.1	ripps8528	ripps8528		
MIBiG	BGC0000527.1	ripps5087	ripps3447		
MIBiG	BGC0000559.1	ripps12063	ripps12063		
MIBiG	BGC0000600.1	ripps9190	ripps9214		
MIBiG	BGC0000602.1	ripps11263	ripps11263		
MIBiG	BGC0000616.1	ripps10742	ripps3447		
